curator_name,spotify_url,instagram,twitter,facebook,submission_form,any_other_handle
Filtr US,https://open.spotify.com/user/filtr,https://www.instagram.com/wefiltr/?hl=en,https://mobile.twitter.com/weFiltr,,https://www.rexiusrecords.com/how-to-submit-to-submit-music-to-filtr-digster-and-topsify-playlists/,"['https://open.spotify.com/playlist/3C64V048fGyQfCjmu9TIGA', 'https://soundcloud.com/FILTR', 'https://music.apple.com/us/curator/filtr/1016652421', 'https://music.apple.com/us/playlist/workout-playlist-2025/pl.cf589c8b40dc40cd9ddc2e61493d5efd', 'https://filtr.com/']"
Indie Folk Central,https://open.spotify.com/user/ykxuknpdqe4vrfi4lrn2gb76p,https://www.instagram.com/indiefolkcentral/?hl=en,,https://www.facebook.com/indiefolkcentral/,https://groover.co/en/influencer/profile/0.indie-folk-central/,"['https://indiefolkcentral.com/', 'https://www.youtube.com/indiefolkcentral', 'https://soundcloud.com/indiefolkcentral']"
